Tarih,EUR,USD,CNY,GBP,JPY,RUB
2016-01,3.26692,3.00695,0.455104,4.330805,2.54006,0.0388215
2016-02,3.2628,2.9406619047619,0.44641666666667,4.2071952380952,2.548419047619,0.037928095238095
2016-03,3.206347826087,2.8917391304348,0.44163173913043,4.097347826087,2.5533608695652,0.040816956521739
2016-04,3.2134047619048,2.8347380952381,0.43518619047619,4.0452333333333,2.5749380952381,0.042260476190476
2016-05,3.3147333333333,2.9265952380952,0.44604952380952,4.2442904761905,2.6867476190476,0.044291904761905
2016-06,3.2773636363636,2.9169863636364,0.44015818181818,4.1545954545455,2.7509363636364,0.04447
2016-07,3.2709666666667,2.9575555555556,0.44045777777778,3.8945944444444,2.8226277777778,0.045791111111111
2016-08,3.3207454545455,2.9628636363636,0.44326454545455,3.8790363636364,2.9199681818182,0.045294545454545
2016-09,3.3165111111111,2.9601,0.44112833333333,3.88315,2.8976277777778,0.045679444444444
2016-10,3.3866428571429,3.0679428571429,0.45369142857143,3.7931,2.9549666666667,0.048729523809524
2016-11,3.5343863636364,3.26745,0.47514681818182,4.0497545454545,3.0225545454545,0.050513181818182
2016-12,3.6812818181818,3.4889272727273,0.501305,4.3498681818182,3.0032818181818,0.055885454545455
2017-01,3.9654863636364,3.7348863636364,0.53838454545455,4.5945954545455,3.2352772727273,0.062013636363636
2017-02,3.91099,3.67236,0.531225,4.579265,3.239105,0.062417
2017-03,3.9157739130435,3.6659434782609,0.52861739130435,4.5144304347826,3.2363130434783,0.06284652173913
2017-04,3.9101,3.653835,0.527297,4.59733,3.309875,0.064394
2017-05,3.9323857142857,3.5638619047619,0.5143980952381,4.5987476190476,3.1655571428571,0.062075238095238
2017-06,3.94866,3.51899,0.5140015,4.49478,3.169235,0.0606365
2017-07,4.0914238095238,3.5598666666667,0.52244285714286,4.613980952381,3.1549571428571,0.059292380952381
2017-08,4.1436181818182,3.5124772727273,0.52282772727273,4.5511545454545,3.1894227272727,0.058541818181818
2017-09,4.1376947368421,3.4680473684211,0.52512052631579,4.6120052631579,3.1284842105263,0.059759473684211
2017-10,4.3082909090909,3.6622590909091,0.54948954545455,4.8286727272727,3.2358909090909,0.063114090909091
2017-11,4.5496272727273,3.87905,0.58243727272727,5.1163727272727,3.4286,0.065443181818182
2017-12,4.552519047619,3.8477047619048,0.58005666666667,5.1483904761905,3.3991238095238,0.065271428571429
2018-01,4.5912818181818,3.7723272727273,0.58275227272727,5.1874681818182,3.3871363636364,0.066145909090909
2018-02,4.67317,3.77802,0.5944695,5.279865,3.48972,0.0661285
2018-03,4.7854636363636,3.8808772727273,0.61046136363636,5.4097636363636,3.6496409090909,0.067614090909091
2018-04,4.983805,4.05403,0.6403065,5.70625,3.76566,0.066628
2018-05,5.2222954545455,4.4141454545455,0.68888727272727,5.9404772727273,4.0127909090909,0.070383636363636
2018-06,5.40696,4.62822,0.7127135,6.14245,4.199805,0.0732755
2018-07,5.5453090909091,4.7480090909091,0.70394090909091,6.2423954545455,4.2504954545455,0.075124545454545
2018-08,6.6065833333333,5.7301944444444,0.83158777777778,7.3613888888889,5.1453444444444,0.086625555555556
2018-09,7.42468,6.36687,0.923875,8.29166,5.68068,0.093417
2018-10,6.7417,5.8593727272727,0.84261863636364,7.6277909090909,5.1776363636364,0.088465454545455
2018-11,6.1060818181818,5.3734909090909,0.76984227272727,6.9190181818182,4.7310727272727,0.080501363636364
2018-12,6.038680952381,5.3061238095238,0.76587428571429,6.7158047619048,4.7124952380952,0.078440476190476
2019-01,6.1324318181818,5.3693909090909,0.78575772727273,6.8981227272727,4.9167590909091,0.079631818181818
2019-02,5.975095,5.262055,0.7763655,6.82722,4.76095,0.0795115
2019-03,6.157980952381,5.4419380952381,0.80645857142857,7.1656095238095,4.883180952381,0.08303619047619
2019-04,6.4475333333333,5.7357714285714,0.84935571428571,7.4676333333333,5.1275666666667,0.088247619047619
2019-05,6.7673227272727,6.0494454545455,0.87799727272727,7.764,5.4828409090909,0.092708636363636
2019-06,6.5568941176471,5.8119352941176,0.83731705882353,7.3483647058824,5.3605058823529,0.090175294117647
2019-07,6.3691318181818,5.6721772727273,0.82020272727273,7.0750409090909,5.2302636363636,0.089202272727273
2019-08,6.2560277777778,5.6247888888889,0.79382888888889,6.8257277777778,5.2685333333333,0.085312777777778
2019-09,6.2935952380952,5.7127952380952,0.79808333333333,7.0364952380952,5.3090761904762,0.087365238095238
2019-10,6.3859090909091,5.7845409090909,0.80983136363636,7.2700909090909,5.3399181818182,0.089322272727273
2019-11,6.3398523809524,5.7312285714286,0.81184142857143,7.3749714285714,5.254319047619,0.089258095238095
2019-12,6.4808863636364,5.8376272727273,0.82718636363636,7.6305227272727,5.3334681818182,0.092229090909091
2020-01,6.5750590909091,5.9181590909091,0.85008727272727,7.72295,5.4024545454545,0.095129545454545
2020-02,6.5939,6.04447,0.8592615,7.831265,5.479595,0.0940375
2020-03,6.9887409090909,6.3144318181818,0.89496136363636,7.8180090909091,5.8599636363636,0.085353181818182
2020-04,7.4167666666667,6.8189523809524,0.95837238095238,8.4492047619048,6.3071047619048,0.090044761904762
2020-05,7.5595176470588,6.9519470588235,0.97390941176471,8.5435764705882,6.4766058823529,0.094625294117647
2020-06,7.6624227272727,6.8088318181818,0.95520590909091,8.5157954545455,6.3149363636364,0.097721363636364
2020-07,7.8209761904762,6.8510952380952,0.97100380952381,8.6224428571429,6.3896523809524,0.095585714285714
2020-08,8.57579,7.25219,1.0401785,9.499045,6.826915,0.0977975
2020-09,8.86075,7.5077818181818,1.0958,9.7384863636364,7.0947045454545,0.098557727272727
2020-10,9.2737047619048,7.873880952381,1.1629095238095,10.198980952381,7.457780952381,0.1010719047619
2020-11,9.4572,8.0033238095238,1.2040952380952,10.532980952381,7.6471952380952,0.10325761904762
2020-12,9.3841739130435,7.7210652173913,1.1734391304348,10.346430434783,7.4181217391304,0.10345782608696
2021-01,9.00809,7.393975,1.135855,10.066385,7.116195,0.0989625
2021-02,8.556185,7.072365,1.089135,9.77764,6.70281,0.094491
2021-03,9.0913347826087,7.6282347826087,1.1658913043478,10.559073913043,7.0122434782609,0.10190086956522
2021-04,9.7338952380952,8.1550238095238,1.2425571428571,11.262157142857,7.4479857142857,0.10645761904762
2021-05,10.130661111111,8.34225,1.2895555555556,11.711883333333,7.6293944444444,0.11200222222222
2021-06,10.371213636364,8.5966818181818,1.3316227272727,12.053581818182,7.7923454545455,0.11774136363636
2021-07,10.192188235294,8.6129411764706,1.3229764705882,11.890870588235,7.7817411764706,0.11595647058824
2021-08,9.9783047619048,8.4757142857143,1.3012952380952,11.686966666667,7.698719047619,0.11456285714286
2021-09,10.028577272727,8.5118818181818,1.3108136363636,11.686468181818,7.7138181818182,0.11608090909091
2021-10,10.601325,9.139945,1.414545,12.475785,8.068565,0.127123
2021-11,12.011395454545,10.523263636364,1.6376909090909,14.1544,9.2025227272727,0.14399818181818
2021-12,15.28957826087,13.528495652174,2.1123956521739,17.960047826087,11.856556521739,0.18227434782609
